year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Clark,39023,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.4,72.7,79.8,134831,104795,0.09293193717277479
2022,OH,Ohio,Clark,39023,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,21.8,19.5,24.2,134831,104795,0.21559633027522931
2022,OH,Ohio,Clark,39023,Health Outcomes,DEPRESSION,Depression among adults,Depression,28.5,24.9,32.3,134831,104795,0.2596491228070175
2022,OH,Ohio,Clark,39023,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12.3,10.7,13.9,134831,104795,0.26016260162601634
2022,OH,Ohio,Clark,39023,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,15.3,13.6,17.1,134831,104795,0.22875816993464063
2022,OH,Ohio,Clark,39023,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,9.8,8.9,10.9,134831,104795,0.2040816326530612
2022,OH,Ohio,Clark,39023,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,29,25.3,33,134831,104795,0.2655172413793103
2022,OH,Ohio,Clark,39023,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,72.6,65.2,79.3,134831,104795,0.1942148760330578
2022,OH,Ohio,Clark,39023,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,21.3,19.4,23.3,134831,104795,0.18309859154929586
2022,OH,Ohio,Clark,39023,Health Outcomes,OBESITY,Obesity among adults,Obesity,41.8,35.8,48,134831,104795,0.29186602870813405
2022,OH,Ohio,Clermont,39025,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,8.6,7.6,9.7,210805,164528,0.24418604651162787
2021,OH,Ohio,Clermont,39025,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,31.8,28.1,35.4,210805,164528,0.22955974842767285
2022,OH,Ohio,Clermont,39025,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.2,72.5,79.8,210805,164528,0.09580052493438317
2022,OH,Ohio,Clermont,39025,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,19.2,16.9,21.5,210805,164528,0.23958333333333343
2022,OH,Ohio,Clermont,39025,Health Outcomes,DEPRESSION,Depression among adults,Depression,25.5,22.1,29.2,210805,164528,0.2784313725490195
2022,OH,Ohio,Clermont,39025,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,10.7,9.3,12.2,210805,164528,0.27102803738317743
2022,OH,Ohio,Clermont,39025,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,11.2,9.9,12.5,210805,164528,0.23214285714285712
2022,OH,Ohio,Clermont,39025,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,7.9,7.1,8.6,210805,164528,0.18987341772151897
2022,OH,Ohio,Clermont,39025,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,25.6,22.1,29.5,210805,164528,0.28906249999999994
2022,OH,Ohio,Clermont,39025,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,73.9,66.3,80.6,210805,164528,0.19350473612990524
2022,OH,Ohio,Clermont,39025,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,19.4,17.6,21.3,210805,164528,0.19072164948453607
2022,OH,Ohio,Clermont,39025,Health Outcomes,OBESITY,Obesity among adults,Obesity,40.1,34.4,46.4,210805,164528,0.29925187032418954
2022,OH,Ohio,Clinton,39027,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,7.7,6.8,8.6,41964,32647,0.23376623376623373
2021,OH,Ohio,Clinton,39027,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,32.9,29.1,36.8,41964,32647,0.23404255319148926
2022,OH,Ohio,Clinton,39027,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.9,73,80.5,41964,32647,0.09752925877763328
2022,OH,Ohio,Clinton,39027,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,22.6,20.1,25.3,41964,32647,0.23008849557522118
2022,OH,Ohio,Clinton,39027,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.9,24,31.9,41964,32647,0.28315412186379924
2022,OH,Ohio,Clinton,39027,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,12,10.4,13.6,41964,32647,0.2666666666666666
2022,OH,Ohio,Clinton,39027,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,14,12.4,15.8,41964,32647,0.24285714285714288
2022,OH,Ohio,Clinton,39027,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,9.2,8.3,10.2,41964,32647,0.20652173913043465
